date,state,county,production,birds
2022-03-28,Iowa,Hamilton,Commercial Turkey Meat Bird,0
2022-03-29,Maine,Knox,WOAH Non-Poultry,0
2022-03-29,Massachusetts,Berkshire,WOAH Non-Poultry,0
2022-03-29,Minnesota,Kandiyohi,Commercial Turkey Meat Bird,0
2022-03-29,Minnesota,Lac Qui Parle,Commercial Turkey Meat Bird,0
2022-03-29,New York,Monroe,WOAH Poultry,0
2022-03-29,North Carolina,Johnston,Commercial Turkey Meat Bird,0
2022-03-29,North Dakota,Kidder,WOAH Poultry,0
2022-03-29,Ohio,Franklin,WOAH Non-Poultry,0
2022-03-29,South Dakota,Bon Homme,Commercial Turkey Meat Bird,0
2022-03-29,South Dakota,Edmunds,Commercial Turkey Breeder Hens,0
2022-03-29,South Dakota,Spink,Commercial Turkey Meat Bird,0
2022-03-29,Wyoming,Johnson,WOAH Non-Poultry,0
2022-03-30,Iowa,Buena Vista,Commercial Turkey Meat Bird,0
2022-03-30,Maine,Lincoln,WOAH Non-Poultry,0
2022-03-30,South Dakota,Brule,Commercial Turkey Meat Bird,100000
2022-03-30,Wyoming,Park,WOAH Non-Poultry,0
2022-03-31,Illinois,Carroll,WOAH Non-Poultry,0
2022-03-31,Iowa,Cherokee,Commercial Turkey Meat Bird,100000
2022-03-31,Iowa,Osceola,Commercial Table Egg Layer,5000000
2022-03-31,Minnesota,Morrison,Commercial Turkey Meat Bird,100000
2022-03-31,Minnesota,Stearns,WOAH Non-Poultry,0
2022-03-31,North Dakota,Dickey,WOAH Poultry,0
2022-03-31,South Dakota,Mcpherson,Commercial Turkey Breeder Hens,0
2022-04-01,Missouri,Jasper,Commercial Turkey Meat Bird,0
2022-04-01,North Dakota,Dickey,Commercial Turkey Meat Bird,100000
2022-04-01,South Dakota,Charles Mix,Commercial Turkey Meat Bird,100000
2022-04-01,South Dakota,Edmunds,Commercial Turkey Breeder Replacement Hens,0
2022-04-01,Wisconsin,Rock,WOAH Non-Poultry,0
2022-04-01,Wyoming,Fremont,WOAH Non-Poultry,0
2022-04-02,Iowa,Humboldt,Commercial Table Egg Breeder,0
2022-04-02,Iowa,Sac,Commercial Turkey Meat Bird,0
2022-04-02,Minnesota,Stearns,Commercial Turkey Meat Bird,0
2022-04-02,North Carolina,Johnston,Commercial Turkey Meat Bird,0
2022-04-02,North Carolina,Johnston,Commercial Turkey Meat Bird,0
2022-04-02,North Carolina,Wayne,Commercial Turkey Meat Bird,0
2022-04-02,North Dakota,Lamoure,Commercial Turkey Meat Bird,0
2022-04-02,South Dakota,Lake,Commercial Turkey Meat Bird,100000
2022-04-02,South Dakota,Spink,Commercial Turkey Meat Bird,0
2022-04-03,Minnesota,Dodge,Commercial Turkey Meat Bird,0
2022-04-03,Minnesota,Le Sueur,Commercial Turkey Meat Bird,0
2022-04-03,Texas,Erath,Commercial Upland Gamebird Producer,0
2022-04-04,Iowa,Hamilton,Commercial Turkey Poult Supplier,0
2022-04-04,Minnesota,Becker,Commercial Turkey Meat Bird,0
2022-04-04,Minnesota,Kandiyohi,Commercial Turkey Meat Bird,0
2022-04-04,Minnesota,Kandiyohi,Commercial Turkey Breeder Hens,0
2022-04-04,Minnesota,Kandiyohi,Commercial Turkey Breeder Hens,0
2022-04-04,Minnesota,Morrison,Commercial Turkey Meat Bird,0
2022-04-04,North Dakota,Lamoure,Commercial Turkey Meat Bird,100000
2022-04-04,South Dakota,Mcpherson,Commercial Turkey Meat Bird,100000
2022-04-05,Iowa,Hardin,Commercial Turkey Meat Bird,0
2022-04-05,Maine,Waldo,WOAH Non-Poultry,0
2022-04-05,Minnesota,Big Stone,Commercial Turkey Meat Bird,0
2022-04-05,Minnesota,Meeker,Commercial Turkey Meat Bird,100000
2022-04-05,Minnesota,Morrison,Commercial Turkey Meat Bird,0
2022-04-05,Minnesota,Morrison,Commercial Turkey Meat Bird,100000
2022-04-05,Minnesota,Stearns,Commercial Turkey Meat Bird,0
2022-04-05,Minnesota,Waseca,Commercial Turkey Meat Bird,0
2022-04-05,Missouri,Lawrence,Commercial Turkey Meat Bird,0
2022-04-05,Nebraska,Scotts Bluff,WOAH Non-Poultry,0
2022-04-05,New York,Orleans,WOAH Poultry,0
2022-04-05,North Carolina,Wayne,Commercial Turkey Meat Bird,0
2022-04-05,North Dakota,Cass,WOAH Non-Poultry,0
2022-04-05,South Dakota,Beadle,Commercial Turkey Meat Bird,100000
2022-04-05,South Dakota,Clark,Commercial Turkey Meat Bird,0
2022-04-05,South Dakota,Faulk,Commercial Turkey Meat Bird,0
2022-04-05,South Dakota,Spink,Commercial Turkey Meat Bird,0
2022-04-05,Wyoming,Sheridan,WOAH Non-Poultry,0
2022-04-06,Minnesota,Waseca,Commercial Turkey Meat Bird,0
2022-04-06,Missouri,Dade,Commercial Turkey Meat Bird,0
2022-04-06,New York,Fulton,WOAH Non-Poultry,0
2022-04-06,North Carolina,Wayne,Commercial Broiler Production,200000
2022-04-06,North Carolina,Wayne,Commercial Broiler Production,100000
2022-04-06,South Dakota,Mcpherson,Commercial Turkey Meat Bird,0
2022-04-06,Wyoming,Park,WOAH Non-Poultry,0
2022-04-07,Minnesota,Kandiyohi,Commercial Turkey Breeder Hens,0
2022-04-07,Montana,Cascade,WOAH Poultry,0
2022-04-07,Montana,Judith Basin,WOAH Non-Poultry,0
2022-04-07,North Carolina,Wayne,Commercial Turkey Meat Bird,0
2022-04-07,Wisconsin,Racine,WOAH Poultry,0
2022-04-08,Colorado,Pitkin,WOAH Poultry,0
2022-04-08,Indiana,Elkhart,Commercial Duck Breeder,0
2022-04-08,Minnesota,Otter Tail,Commercial Turkey Meat Bird,0
2022-04-08,Minnesota,Renville,Commercial Turkey Meat Bird,100000
2022-04-08,North Dakota,Stutsman,WOAH Poultry,0
2022-04-08,South Dakota,Clark,Commercial Turkey Meat Bird,0
2022-04-08,South Dakota,Edmunds,Commercial Turkey Meat Bird,0
2022-04-09,Minnesota,Le Sueur,Commercial Turkey Meat Bird,0
2022-04-09,Minnesota,Stearns,Commercial Turkey Meat Bird,0
2022-04-09,Minnesota,Swift,Commercial Turkey Meat Bird,100000
2022-04-09,South Dakota,Yankton,Commercial Turkey Meat Bird,100000
2022-04-11,Michigan,Menominee,WOAH Non-Poultry,0
2022-04-12,Minnesota,Benton,WOAH Non-Poultry,0
2022-04-12,Minnesota,Kandiyohi,Commercial Turkey Meat Bird,0
2022-04-12,Minnesota,Morrison,Commercial Turkey Meat Bird,0
2022-04-12,Minnesota,Morrison,Commercial Broiler Production,0
2022-04-12,Minnesota,Morrison,Commercial Table Egg Layer,200000
2022-04-12,Minnesota,Yellow Medicine,Commercial Turkey Meat Bird,0
2022-04-12,Montana,Toole,WOAH Non-Poultry,0
2022-04-12,Nebraska,Dixon,Commercial Table Egg Layer,1700000
2022-04-12,North Carolina,Wayne,Commercial Broiler Production,100000
2022-04-12,North Dakota,Sheridan,WOAH Non-Poultry,0
2022-04-12,Wisconsin,Barron,Commercial Turkey Meat Bird,0
2022-04-13,Kansas,Mcpherson,Commercial Turkey Breeder Hens,0
2022-04-13,Michigan,Menominee,WOAH Poultry,0
2022-04-13,Minnesota,Benton,WOAH Non-Poultry,0
2022-04-13,Minnesota,Blue Earth,Commercial Turkey Meat Bird,0
2022-04-13,Minnesota,Otter Tail,Commercial Turkey Meat Bird,0
2022-04-13,Minnesota,Waseca,Commercial Turkey Meat Bird,0
2022-04-13,North Dakota,Barnes,WOAH Poultry,0
2022-04-13,South Dakota,Deuel,Commercial Upland Gamebird Producer,0
2022-04-14,Idaho,Caribou,WOAH Non-Poultry,0
2022-04-14,Idaho,Gooding,WOAH Poultry,0
2022-04-14,Indiana,Elkhart,Commercial Duck Breeder,0
2022-04-14,Minnesota,Blue Earth,Commercial Turkey Meat Bird,0
2022-04-14,Minnesota,Meeker,Commercial Turkey Meat Bird,100000
2022-04-14,North Dakota,Lamoure,WOAH Non-Poultry,0
2022-04-14,Wisconsin,Columbia,WOAH Non-Poultry,0
2022-04-14,Wisconsin,Sheboygan,WOAH Non-Poultry,0
2022-04-15,Michigan,Livingston,WOAH Non-Poultry,0
2022-04-15,Michigan,Macomb,WOAH Non-Poultry,0
2022-04-15,Pennsylvania,Lancaster,Commercial Table Egg Layer,1400000
2022-04-15,Utah,Utah,WOAH Non-Poultry,0
2022-04-15,Wisconsin,Polk,Commercial Turkey Meat Bird,0
2022-04-16,Michigan,Menominee,WOAH Non-Poultry,0
2022-04-19,Colorado,La Plata,WOAH Poultry,0
2022-04-19,Colorado,Montrose,Commercial Broiler Breeder,100000
2022-04-19,Idaho,Gooding,WOAH Non-Poultry,0
2022-04-19,Minnesota,Kandiyohi,Commercial Turkey Meat Bird,0
2022-04-19,Minnesota,Kandiyohi,Commercial Turkey Meat Bird,0
2022-04-19,Minnesota,Meeker,Commercial Turkey Meat Bird,100000
2022-04-19,Minnesota,Morrison,Commercial Turkey Meat Bird,100000
2022-04-19,Minnesota,Morrison,Commercial Turkey Meat Bird,0
2022-04-19,Minnesota,Morrison,Commercial Turkey Meat Bird,0
2022-04-19,Minnesota,Otter Tail,Commercial Turkey Meat Bird,0
2022-04-19,Minnesota,Swift,Commercial Turkey Meat Bird,0
2022-04-19,North Dakota,Stutsman,WOAH Poultry,0
2022-04-20,Idaho,Madison,WOAH Poultry,0
2022-04-20,Indiana,Elkhart,Commercial Duck Meat Bird,0
2022-04-20,Minnesota,Stearns,Commercial Turkey Meat Bird,100000
2022-04-20,Minnesota,Stearns,Commercial Turkey Meat Bird,100000
2022-04-20,Minnesota,Todd,Commercial Turkey Meat Bird,0
2022-04-20,Minnesota,Todd,Commercial Turkey Meat Bird,0
2022-04-20,Montana,Glacier,WOAH Poultry,100000
2022-04-20,Pennsylvania,Lancaster,Commercial Table Egg Layer,1100000
2022-04-20,Pennsylvania,Lancaster,Commercial Table Egg Layer,900000
2022-04-21,Iowa,Bremer,Commercial Turkey Meat Bird,0
2022-04-21,Minnesota,Morrison,Commercial Turkey Meat Bird,0
2022-04-21,Minnesota,Todd,Commercial Turkey Meat Bird,0
2022-04-21,Minnesota,Todd,Commercial Turkey Meat Bird,0
2022-04-21,North Dakota,Renville,WOAH Non-Poultry,0
2022-04-21,North Dakota,Richland,Commercial Turkey Meat Bird,0
2022-04-22,Minnesota,Otter Tail,Commercial Turkey Meat Bird,0
2022-04-22,Minnesota,Swift,Commercial Turkey Meat Bird,100000
2022-04-22,Minnesota,Yellow Medicine,Commercial Turkey Meat Bird,0
2022-04-22,Pennsylvania,Lancaster,Commercial Broiler Production,100000
2022-04-23,Wisconsin,Polk,WOAH Non-Poultry,0
2022-04-25,Michigan,Menominee,WOAH Non-Poultry,0
2022-04-25,Minnesota,Rice,WOAH Non-Poultry,0
2022-04-25,Minnesota,Stearns,Commercial Turkey Meat Bird,0
2022-04-25,Utah,Cache,Commercial Table Egg Layer,1500000
2022-04-26,Iowa,Kossuth,WOAH Non-Poultry,0
2022-04-26,Montana,Missoula,WOAH Non-Poultry,0
2022-04-26,North Dakota,Richland,WOAH Poultry,0
2022-04-26,Pennsylvania,Lancaster,Commercial Table Egg Layer,300000
2022-04-27,Kansas,Republic,WOAH Poultry,0
2022-04-27,Michigan,Saginaw,WOAH Non-Poultry,0
2022-04-27,Nebraska,Knox,Commercial Table Egg Layer,2100000
2022-04-27,Pennsylvania,Lancaster,Commercial Broiler Breeder Pullets,0
2022-04-28,Indiana,Johnson,WOAH Non-Poultry,0
2022-04-28,Michigan,Wexford,WOAH Poultry,0
2022-04-28,Minnesota,Carver,WOAH Non-Poultry,0
2022-04-28,Minnesota,Swift,WOAH Non-Poultry,0
2022-04-28,Vermont,Caledonia,WOAH Non-Poultry,0
2022-04-28,Wisconsin,Barron,Commercial Turkey Meat Bird,100000
2022-04-29,Alaska,Matanuska Susitna,WOAH Non-Poultry,0
2022-04-29,Colorado,Weld,Commercial Table Egg Layer,1400000
2022-04-29,Minnesota,Stearns,Commercial Turkey Breeder Hens,0
2022-04-29,Montana,Fergus,WOAH Non-Poultry,0
2022-04-29,Montana,Gallatin,WOAH Non-Poultry,0
2022-04-29,Montana,Pondera,WOAH Non-Poultry,0
2022-04-29,Nebraska,Washington,WOAH Non-Poultry,0
2022-04-29,Pennsylvania,Lancaster,Commercial Duck Meat Bird,0
2022-04-29,Wisconsin,Barron,WOAH Non-Poultry,0
2022-04-29,Wisconsin,Oconto,WOAH Non-Poultry,0
2022-04-30,Michigan,Branch,WOAH Non-Poultry,0
2022-04-30,Minnesota,Chisago,WOAH Non-Poultry,0
2022-04-30,Minnesota,Chisago,WOAH Non-Poultry,0
2022-04-30,Minnesota,Morrison,WOAH Non-Poultry,0
2022-04-30,Oklahoma,Sequoyah,Commercial Broiler Breeder,0
2022-05-03,Illinois,Kane,WOAH Non-Poultry,0
2022-05-03,Minnesota,Chisago,WOAH Non-Poultry,0
2022-05-03,Minnesota,Lyon,Commercial Turkey Meat Bird,100000
2022-05-03,Pennsylvania,Berks,Commercial Duck Breeder,0
2022-05-03,Pennsylvania,Berks,Commercial Duck Meat Bird,100000
2022-05-03,South Dakota,Beadle,Commercial Turkey Meat Bird,100000
2022-05-03,Wisconsin,Barron,Commercial Turkey Meat Bird,0
2022-05-03,Wisconsin,Barron,Commercial Turkey Meat Bird,0
2022-05-03,Wisconsin,Fond Du Lac,WOAH Non-Poultry,0
2022-05-03,Wisconsin,Polk,WOAH Non-Poultry,0
2022-05-03,Wisconsin,Sauk,WOAH Non-Poultry,0
2022-05-04,Iowa,Bremer,WOAH Non-Poultry,0
2022-05-04,Minnesota,Carver,WOAH Non-Poultry,0
2022-05-04,South Dakota,Day,WOAH Poultry,0
2022-05-04,South Dakota,Hamlin,WOAH Non-Poultry,0
2022-05-05,Oregon,Linn,WOAH Non-Poultry,0
2022-05-05,Washington,Pacific,WOAH Poultry,0
2022-05-05,Wisconsin,Pierce,WOAH Non-Poultry,0
2022-05-06,Michigan,Oakland,WOAH Non-Poultry,0
2022-05-06,Minnesota,Anoka,WOAH Non-Poultry,0
2022-05-06,Montana,Fergus,WOAH Non-Poultry,0
2022-05-07,Washington,Spokane,WOAH Non-Poultry,0
2022-05-07,Wisconsin,Barron,Commercial Turkey Meat Bird,0
2022-05-09,Idaho,Canyon,WOAH Poultry,0
2022-05-10,Idaho,Ada,WOAH Poultry,0
2022-05-10,Michigan,Muskegon,Commercial Turkey Meat Bird,0
2022-05-10,Minnesota,Crow Wing,WOAH Poultry,0
2022-05-10,Minnesota,Todd,WOAH Non-Poultry,0
2022-05-10,Pennsylvania,Berks,Commercial Duck Breeder,0
2022-05-10,Pennsylvania,Berks,Commercial Duck Meat Bird,0
2022-05-10,Pennsylvania,Lancaster,Commercial Table Egg Layer,100000
2022-05-10,Washington,Pierce,WOAH Non-Poultry,0
2022-05-11,Idaho,Ada,WOAH Non-Poultry,0
2022-05-11,Minnesota,Chisago,WOAH Poultry,0
2022-05-11,Utah,Cache,WOAH Non-Poultry,0
2022-05-11,Washington,Clallam,WOAH Non-Poultry,0
2022-05-11,Washington,Clallam,WOAH Non-Poultry,0
2022-05-11,Washington,Pierce,WOAH Non-Poultry,0
2022-05-12,Idaho,Ada,WOAH Non-Poultry,0
2022-05-12,Minnesota,Chisago,WOAH Non-Poultry,0
2022-05-12,Minnesota,Grant,WOAH Non-Poultry,0
2022-05-12,Washington,Okanogan,WOAH Non-Poultry,0
2022-05-12,Washington,Whatcom,WOAH Non-Poultry,0
2022-05-13,Idaho,Ada,WOAH Non-Poultry,0
2022-05-13,Idaho,Canyon,WOAH Non-Poultry,0
2022-05-13,Wisconsin,Barron,Commercial Turkey Meat Bird,0
2022-05-13,Wisconsin,Marinette,WOAH Non-Poultry,0
2022-05-13,Wyoming,Lincoln,WOAH Non-Poultry,0
2022-05-13,Wyoming,Sheridan,WOAH Non-Poultry,0
2022-05-14,Pennsylvania,Berks,Commercial Table Egg Breeder,100000
2022-05-16,Wisconsin,Dunn,WOAH Non-Poultry,0
2022-05-17,Idaho,Ada,WOAH Non-Poultry,0
2022-05-17,Idaho,Ada,WOAH Poultry,0
2022-05-17,Idaho,Canyon,WOAH Poultry,0
2022-05-17,Idaho,Canyon,WOAH Non-Poultry,0
2022-05-17,Idaho,Canyon,WOAH Poultry,0
2022-05-17,Illinois,Boone,WOAH Non-Poultry,0
2022-05-17,New Jersey,Monmouth,WOAH Poultry,0
2022-05-17,North Dakota,Burke,WOAH Non-Poultry,0
2022-05-17,Oregon,Lane,WOAH Poultry,0
2022-05-17,Pennsylvania,Berks,Commercial Table Egg Layer,100000
2022-05-17,Utah,Salt Lake,WOAH Non-Poultry,0
2022-05-17,Washington,Thurston,WOAH Non-Poultry,0
2022-05-18,Idaho,Ada,WOAH Non-Poultry,0
2022-05-18,Idaho,Canyon,WOAH Poultry,0
2022-05-18,Idaho,Canyon,WOAH Poultry,0
2022-05-18,Idaho,Canyon,WOAH Non-Poultry,0
2022-05-18,Minnesota,Clay,WOAH Non-Poultry,0
2022-05-18,Minnesota,Kandiyohi,Commercial Turkey Breeder Toms,0
2022-05-18,Pennsylvania,Berks,Commercial Duck Breeder,0
2022-05-19,Colorado,Jefferson,WOAH Non-Poultry,0
2022-05-19,Idaho,Ada,WOAH Poultry,0
2022-05-19,Idaho,Ada,WOAH Non-Poultry,0
2022-05-19,Idaho,Canyon,WOAH Non-Poultry,0
2022-05-19,Idaho,Canyon,WOAH Non-Poultry,0
2022-05-19,Indiana,Allen,WOAH Non-Poultry,0
2022-05-20,Idaho,Ada,WOAH Non-Poultry,0
2022-05-20,Minnesota,Polk,WOAH Non-Poultry,0
2022-05-20,South Dakota,Codington,WOAH Poultry,0
2022-05-20,Wyoming,Campbell,WOAH Non-Poultry,0
2022-05-21,Minnesota,Dakota,Commercial Turkey Meat Bird,100000
2022-05-23,Pennsylvania,Berks,Commercial Duck Breeder,0
2022-05-23,Wisconsin,Bayfield,WOAH Non-Poultry,0
2022-05-24,Idaho,Ada,WOAH Non-Poultry,0
2022-05-24,Washington,King,WOAH Non-Poultry,0
2022-05-24,Washington,King,WOAH Non-Poultry,0
2022-05-25,Washington,King,WOAH Non-Poultry,0
2022-05-27,Washington,Snohomish,WOAH Non-Poultry,0
2022-05-31,Minnesota,Becker,WOAH Non-Poultry,0
2022-06-01,Georgia,Toombs,WOAH Non-Poultry,0
2022-06-02,Pennsylvania,Berks,Commercial Duck Meat Bird,0
2022-06-02,Washington,Snohomish,WOAH Non-Poultry,0
2022-06-06,North Dakota,Mchenry,WOAH Poultry,0
2022-06-07,Colorado,Weld,Commercial Table Egg Layer,1900000
2022-06-07,Indiana,Allen,WOAH Poultry,0
2022-06-07,Washington,King,WOAH Poultry,0
2022-06-08,Oregon,Polk,WOAH Non-Poultry,0
2022-06-09,Colorado,Weld,Commercial Table Egg Pullets,200000
2022-06-09,Indiana,Allen,WOAH Non-Poultry,0
2022-06-09,Washington,Snohomish,WOAH Non-Poultry,0
2022-06-09,Washington,Snohomish,WOAH Non-Poultry,0
2022-06-09,Washington,Yakima,WOAH Non-Poultry,0
2022-06-13,Utah,Salt Lake,WOAH Non-Poultry,0
2022-06-14,Washington,Yakima,WOAH Non-Poultry,0
2022-06-22,Washington,King,WOAH Non-Poultry,0
2022-06-22,Washington,King,WOAH Non-Poultry,0
2022-06-22,Washington,Snohomish,WOAH Non-Poultry,0
2022-06-22,Washington,Yakima,WOAH Non-Poultry,0
2022-06-24,Washington,Pierce,WOAH Non-Poultry,0
2022-06-29,Maine,Cumberland,WOAH Non-Poultry,0
2022-06-29,Washington,Yakima,WOAH Non-Poultry,0
2022-07-01,Utah,Salt Lake,WOAH Non-Poultry,0
2022-07-01,Washington,King,WOAH Poultry,0
2022-07-01,Washington,Kitsap,WOAH Non-Poultry,0
2022-07-06,Oregon,Linn,WOAH Non-Poultry,0
2022-07-06,Washington,Jefferson,WOAH Non-Poultry,0
2022-07-07,Nevada,Carson City,WOAH Non-Poultry,0
2022-07-12,Oregon,Deschutes,WOAH Poultry,0
2022-07-14,Utah,Sanpete,Commercial Turkey Meat Bird,0
2022-07-15,Oregon,Deschutes,WOAH Poultry,0
2022-07-19,Oregon,Deschutes,WOAH Poultry,0
2022-07-19,Utah,Sanpete,Commercial Turkey Meat Bird,0
2022-07-19,Washington,Snohomish,WOAH Poultry,0
2022-07-21,Florida,Seminole,WOAH Non-Poultry,0
2022-07-21,Oregon,Deschutes,WOAH Poultry,0
2022-07-22,Oregon,Deschutes,WOAH Non-Poultry,0
2022-07-22,Oregon,Deschutes,WOAH Non-Poultry,0
2022-07-26,Montana,Flathead,WOAH Non-Poultry,0
2022-07-26,Utah,Sanpete,Commercial Turkey Meat Bird,0
2022-07-26,Washington,Jefferson,WOAH Non-Poultry,0
2022-07-28,Oregon,Coos,WOAH Non-Poultry,0
2022-08-02,Alaska,Bethel,WOAH Non-Poultry,0
2022-08-10,California,Sacramento,WOAH Non-Poultry,0
2022-08-11,Pennsylvania,Northampton,WOAH Poultry,0
2022-08-16,California,Butte,WOAH Non-Poultry,0
2022-08-16,Florida,Osceola,WOAH Non-Poultry,0
2022-08-18,Washington,Walla Walla,WOAH Non-Poultry,0
2022-08-19,Washington,Kitsap,WOAH Non-Poultry,0
2022-08-22,California,Fresno,Commercial Broiler Breeder,0
2022-08-22,Georgia,Henry,WOAH Non-Poultry,0
2022-08-23,California,Contra Costa,WOAH Non-Poultry,0
2022-08-24,Utah,Weber,WOAH Non-Poultry,0
2022-08-25,Washington,Pierce,WOAH Non-Poultry,0
2022-08-26,California,Fresno,Commercial Broiler Breeder,0
2022-08-26,California,Tuolumne,Commercial Turkey Meat Bird,200000
2022-08-26,Washington,Cowlitz,WOAH Non-Poultry,0
2022-08-29,Virginia,Caroline,WOAH Non-Poultry,0
2022-08-30,California,Sacramento,Commercial Turkey Meat Bird,100000
2022-08-30,California,Tuolumne,Commercial Turkey Meat Bird,0
2022-08-30,California,Tuolumne,Commercial Turkey Meat Bird,100000
2022-08-30,Minnesota,Meeker,Commercial Turkey Meat Bird,100000
2022-08-30,Minnesota,Meeker,Commercial Turkey Meat Bird,100000
2022-09-01,California,Fresno,Commercial Broiler Breeder,0
2022-09-01,California,Sacramento,WOAH Non-Poultry,0
2022-09-01,California,Tuolumne,Commercial Turkey Meat Bird,0
2022-09-01,Indiana,Elkhart,WOAH Poultry,0
2022-09-01,Minnesota,Hennepin,WOAH Non-Poultry,0
2022-09-01,North Dakota,Cass,WOAH Non-Poultry,0
2022-09-02,Wisconsin,Washington,WOAH Poultry,0
2022-09-03,Ohio,Ashland,WOAH Non-Poultry,0
